序号,电网电压Uab,电网电压Ubc,定子电压Uuv,定子电压Uvw,总并网/定子U相电流,总并网/定子V相电流,总并网/定子W相电流,转子K相电流,转子L相电流,转子M相电流,母线电压,机侧M相占空比,转子三相电流和,总并网/定子三相电流和,总并网/定子有功电流,总并网/定子无功电流,发电机转速,编码器脉冲信号,编码器复位信号,电网故障标志,交流撬棒电流,交流撬棒触发状态/转子负序有功电流给定,电网故障穿越状态/转子负序无功电流给定,转子正序有功电流给定,转子正序无功电流给定,转子正序有功电流反馈,转子正序无功电流反馈,转子有功电流给定/转子负序有功电流反馈,转子有功电流反馈/转子负序无功电流反馈,并网接触器状态,主控制字,主状态字Ǖ
151,186,64640,210,311,65012,1071,148,1748,3022,102,566,500,10035,0,561,14838,65521,0,0,65534,0,1069,65166,0,65527,65496,65161,31,0,0,143,4614,
152,280,64598,153,348,65028,1070,54,1591,3065,0,579,500,10032,0,561,14842,65524,0,0,65530,0,1069,65166,0,65531,65499,65166,30,0,0,143,4614,
153,375,64597,104,389,65037,1070,170,1199,3022,102,593,500,10036,0,561,14839,65517,0,0,65530,0,1069,65161,0,5,65496,65162,32,0,0,143,4614,
154,464,64578,40,434,65063,1070,95,1057,2997,127,606,500,10023,0,561,14839,65520,0,0,2,0,1069,65170,0,14,65506,65161,24,0,0,143,4614,
155,543,64591,65516,459,65097,1069,150,777,2954,170,620,500,10001,0,561,14839,65514,0,0,0,0,1069,65171,0,14,65513,65165,20,0,0,143,4614,
156,635,64600,65470,469,65132,1069,130,471,2928,196,633,500,10105,0,561,14835,65518,0,0,0,0,1069,65167,0,13,65508,65173,25,0,0,143,4614,
157,690,64629,65403,487,65181,1070,164,296,2828,307,646,500,9954,0,561,14834,65509,0,0,0,0,1069,65174,0,9,65520,65175,13,0,0,143,4614,
158,773,64658,65352,500,65220,1069,161,181,2943,476,660,500,10132,0,561,14831,65518,0,0,0,0,1069,65169,0,12,65524,65173,13,0,0,143,4614,
159,813,64710,65287,493,65290,1069,144,154,2970,772,673,500,10019,0,561,14831,65513,0,0,65535,0,1069,65165,0,65530,65529,65181,65530,0,0,143,4614,
160,869,64763,65232,488,65351,1070,190,96,3028,980,687,500,10096,0,561,14825,65518,0,0,65535,0,1069,65170,0,65520,65531,65181,65519,0,0,143,4614,
161,901,64817,65179,470,65422,1069,120,104,3028,1152,700,500,10028,0,561,14830,65519,0,0,0,0,1069,65168,0,65505,65527,65184,65503,0,0,143,4614,
162,929,64906,65131,459,65481,1069,181,88,3064,1525,713,500,10148,0,561,14822,65520,0,0,1,0,1069,65166,0,65499,65527,65176,65496,0,0,143,4614,
163,946,64961,65094,426,13,1069,81,0,3016,1653,727,500,9996,0,561,14827,65520,0,0,65534,0,1069,65174,0,65492,65514,65178,65485,0,0,15,4614,
164,952,65059,65048,426,56,1068,191,109,3015,1998,740,500,10112,0,561,14822,65522,0,0,65531,0,1069,65171,0,65492,65527,65156,65492,0,0,15,4614,
165,949,65142,65035,391,105,1068,36,177,2947,2235,754,500,10089,0,561,14827,65527,0,0,65532,0,1069,65174,0,65501,65519,65160,65498,0,0,15,4614,
166,927,65233,65026,368,140,1068,110,232,2892,2555,767,500,10003,0,561,14820,65518,0,0,65535,0,1069,65182,0,65513,65524,65159,65512,0,0,15,4614,
167,918,65327,65044,342,149,1067,72,246,2878,2805,781,500,10116,0,561,14827,65529,0,0,0,0,1069,65178,0,5,3,65175,5,0,0,15,4614,
168,862,65429,65035,304,196,1068,65527,203,2555,2921,794,500,10044,0,561,14820,65522,0,0,0,0,1069,65174,0,4,6,65175,6,0,0,15,4614,
169,840,65524,65032,284,220,1068,34,131,2347,2993,3,500,10064,0,561,14825,65527,0,0,1,0,1069,65181,0,3,25,65175,25,0,0,15,4614,
170,775,81,65018,248,268,1068,13,123,2082,3001,16,500,10036,0,561,14825,65527,0,0,0,0,1069,65175,0,65524,27,65166,29,0,0,15,4614,
171,716,194,65023,205,304,1068,5,102,1768,3072,30,500,10116,0,561,14824,65530,0,0,65533,0,1069,65175,0,65518,30,65168,35,0,0,15,4614,
172,649,270,65038,147,343,1068,65445,119,1538,3005,43,500,9969,0,561,14829,65525,0,0,65529,0,1069,65181,0,65518,25,65173,31,0,0,15,4614,
173,573,380,65048,98,386,1068,72,86,1309,3079,57,500,10094,0,561,14824,65531,0,0,65533,0,1069,65178,0,65509,19,65168,33,0,0,15,4614,
174,485,459,65087,37,412,1068,65371,148,997,2976,70,500,10019,0,561,14832,65525,0,0,1,0,1069,65179,0,65516,19,65179,27,0,0,15,4614,
175,397,550,65107,65509,456,1068,65496,153,783,2971,84,500,10050,0,561,14825,65526,0,0,1,0,1069,65185,0,65516,3,65170,20,0,0,15,4614,
176,315,623,65148,65461,462,1067,65458,204,563,2920,97,500,9994,0,561,14834,65522,0,0,0,0,1069,65185,0,65515,11,65182,22,0,0,15,4614,
177,195,701,65179,65413,479,1068,65388,335,247,2877,110,500,10127,0,561,14825,65523,0,0,65535,0,1069,65184,0,65511,4,65181,24,0,0,15,4614,
178,120,763,65244,65348,480,1068,65397,479,222,2902,124,500,9965,0,561,14834,65519,0,0,1,0,1069,65188,0,65524,13,65191,6,0,0,15,4614,
179,1,818,65287,65295,489,1067,65396,751,132,2992,137,500,10116,0,561,14827,65522,0,0,1,0,1069,65183,0,65527,9,65186,2,0,0,15,4614,
180,65446,868,65362,65241,467,1068,65352,955,105,3019,151,500,10046,0,561,14831,65522,0,0,0,0,1069,65183,0,65532,28,65198,65519,0,0,15,4614,
181,65343,895,65427,65184,461,1068,65273,1259,104,3020,164,500,10039,0,561,14828,65516,0,0,1,0,1069,65186,0,4,36,65192,65504,0,0,15,4614,
182,65247,939,65491,65142,438,1068,65406,1364,0,3077,177,500,10074,0,561,14831,65523,0,0,0,0,1069,65181,0,0,45,65192,65494,0,0,15,4614,
183,65154,936,19,65096,420,1068,65230,1768,116,3008,191,500,10050,0,561,14830,65513,0,0,0,0,1069,65182,0,2,52,65183,65484,0,0,15,4614,
184,65062,959,57,65065,406,1068,65346,1942,120,3004,204,500,10058,0,561,14830,65518,0,0,65529,0,1069,65188,0,1,43,65173,65493,0,0,15,4614,
185,64986,945,109,65044,376,1067,65288,2237,162,2962,217,500,10015,0,561,14830,65511,0,0,65530,0,1069,65186,0,65531,42,65170,65494,0,0,15,4614,
186,64897,934,129,65049,356,1068,65334,2560,198,2926,231,500,10110,0,561,14827,65516,0,0,65535,0,1069,65185,0,65527,16,65176,65517,0,0,15,4614,
187,64842,907,161,65050,324,1068,65338,2802,299,2825,244,500,9960,0,561,14829,65507,0,0,0,0,1069,65189,0,65526,2,65181,65529,0,0,15,4614,
188,64763,876,179,65050,306,1068,65353,2958,166,2645,258,500,10124,0,561,14824,65515,0,0,0,0,1069,65183,0,4,65519,65184,15,0,0,15,4614,
189,64722,831,226,65042,267,1069,65430,2962,162,2342,271,500,9993,0,561,14827,65510,0,0,0,0,1069,65178,0,10,65522,65182,16,0,0,15,4614,
190,64665,773,266,65026,243,1069,65375,3029,95,2029,284,500,10094,0,561,14821,65514,0,0,65535,0,1069,65183,0,27,65531,65171,28,0,0,15,4614,
191,64632,727,303,65030,198,1068,65450,3041,94,1849,298,500,10003,0,561,14826,65515,0,0,65531,0,1069,65178,0,31,65535,65173,32,0,0,15,4614,
192,64610,637,345,65038,147,1069,65424,3052,82,1487,311,500,10095,0,561,14819,65515,0,0,65531,0,1069,65177,0,29,7,65171,32,0,0,15,4614,
193,64586,580,377,65065,91,1069,65505,3025,0,1334,325,500,10001,0,561,14825,65518,0,0,65534,0,1069,65183,0,27,5,65180,30,0,0,143,4614,
194,64585,485,426,65068,41,1068,65393,3011,113,987,338,500,10069,0,561,14820,65517,0,0,0,0,1069,65180,0,19,23,65166,31,0,0,143,4614,
195,64585,401,446,65108,65519,1068,7,2957,167,795,352,500,10064,0,561,14824,65523,0,0,1,0,1069,65179,0,18,17,65176,27,0,0,143,4614,
196,64608,305,468,65143,65460,1069,65482,2887,237,512,365,500,10015,0,561,14819,65517,0,0,0,0,1069,65188,0,12,17,65178,23,0,0,143,4614,
197,64618,208,472,65187,65412,1068,65454,2876,248,261,378,500,10101,0,561,14824,65525,0,0,0,0,1069,65183,0,17,14,65188,22,0,0,143,4614,
198,64669,110,489,65237,65346,1069,29,2911,535,213,392,500,10025,0,561,14822,65520,0,0,1,0,1069,65177,0,7,5,65185,8,0,0,143,4614,
199,64703,4,482,65294,65295,1070,65509,2989,726,135,405,500,10112,0,561,14824,65527,0,0,0,0,1069,65181,0,13,65534,65193,0,0,0,143,4614,
200,64763,65448,476,65361,65233,1069,29,3005,976,119,419,500,10028,0,561,14828,65524,0,0,65535,0,1069,65178,0,17,65520,65193,65517,0,0,143,4614,
201,64825,65338,464,65421,65188,1069,37,3067,1203,97,432,500,10117,0,561,14825,65530,0,0,2,0,1069,65171,0,23,65516,65194,65508,0,0,143,4614,
202,64894,65254,439,65493,65141,1070,126,3015,1440,0,445,500,10021,0,561,14831,65526,0,0,1,0,1069,65176,0,37,65509,65194,65492,0,0,143,4614,
203,64974,65145,440,6,65087,1069,17,3055,1722,86,459,500,10115,0,561,14828,65528,0,0,65534,0,1069,65175,0,28,65500,65173,65490,0,0,143,4614,
204,65051,65073,404,66,65060,1069,175,2974,1931,150,472,500,10012,0,561,14835,65525,0,0,65531,0,1069,65172,0,40,65506,65175,65485,0,0,143,4614,
205,65149,64977,396,98,65035,1069,99,2953,2284,171,486,500,10101,0,561,14828,65526,0,0,65531,0,1069,65180,0,25,65509,65162,65501,0,0,143,4614,
206,65230,64903,359,137,65039,1069,134,2913,2526,211,499,500,10026,0,561,14838,65524,0,0,0,0,1069,65179,0,22,65526,65172,65511,0,0,143,4614,
207,65333,64838,338,163,65034,1069,143,2848,2835,276,512,500,10042,0,561,14829,65520,0,0,0,0,1069,65172,0,4,65530,65173,65529,0,0,143,4614,
208,65424,64766,302,183,65051,1070,119,2629,2913,211,526,500,10050,0,561,14837,65523,0,0,0,0,1069,65176,0,65521,4,65188,9,0,0,143,5126,
209,65528,64720,275,232,65028,1069,161,2313,2995,129,539,500,10040,0,561,14830,65518,0,0,0,0,1069,65170,0,65523,65523,65174,13,0,0,143,5126,
210,83,64664,248,261,65026,1070,68,2116,3031,95,553,500,10027,0,561,14835,65521,0,0,0,0,1069,65163,0,65515,65511,65173,28,0,0,143,5126,
211,185,64642,205,311,65017,1070,142,1757,3010,114,566,500,10041,0,561,14832,65517,0,0,65534,0,1069,65170,0,65526,65501,65164,29,0,0,143,5126,
212,286,64595,150,347,65032,1070,106,1545,3083,0,579,500,10044,0,561,14834,65519,0,0,65530,0,1069,65169,0,65529,65502,65168,29,0,0,143,5126,
213,365,64600,99,386,65045,1070,117,1275,3006,118,593,500,9967,0,561,14835,65512,0,0,65531,0,1069,65162,0,1,65501,65166,30,0,0,143,5126,
214,472,64577,42,430,65064,1070,94,1031,3010,114,606,500,10098,0,561,14832,65519,0,0,1,0,1069,65172,0,12,65505,65162,27,0,0,143,5126,
215,543,64591,65509,455,65106,1069,192,755,2946,178,619,500,9960,0,561,14836,65509,0,0,0,0,1069,65174,0,9,65517,65169,16,0,0,143,5126,
216,630,64601,65466,469,65136,1069,97,523,2937,187,633,500,10074,0,561,14828,65515,0,0,0,0,1069,65169,0,11,65511,65173,24,0,0,143,5126,
217,695,64626,65408,478,65185,1070,135,292,2832,299,646,500,9993,0,561,14832,65509,0,0,65535,0,1069,65175,0,5,65515,65181,16,0,0,143,5126,
218,772,64665,65347,500,65224,1069,236,165,2959,536,660,500,10118,0,561,14825,65513,0,0,0,0,1069,65173,0,9,65527,65174,10,0,0,143,5126,
219,812,64701,65287,486,65298,1069,76,171,2953,678,673,500,9964,0,561,14829,65510,0,0,0,0,1069,65166,0,65524,65527,65187,65528,0,0,143,5126,
220,867,64771,65235,492,65344,1070,195,101,3023,1025,686,500,10151,0,561,14821,65515,0,0,0,0,1069,65172,0,65525,65532,65180,65525,0,0,143,5126,
221,905,64817,65179,466,65427,1069,157,101,3040,1188,700,500,10019,0,561,14827,65515,0,0,1,0,1069,65172,0,65502,65525,65187,65502,0,0,143,5126,
222,923,64900,65132,454,65486,1069,142,83,3051,1462,713,500,10072,0,561,14819,65515,0,0,1,0,1069,65165,0,65496,65525,65180,65494,0,0,143,5126,
223,951,64967,65100,428,6,1070,87,0,3032,1672,727,500,10094,0,561,14824,65522,0,0,65535,0,1069,65173,0,65497,65516,65180,65492,0,0,143,5126,
224,947,65061,65046,418,66,1069,197,128,2996,2042,740,500,10051,0,561,14820,65514,0,0,65531,0,1069,65173,0,65486,65523,65160,65486,0,0,143,5126,
225,953,65135,65040,391,100,1068,41,147,2977,2181,754,500,10071,0,561,14823,65523,0,0,65532,0,1069,65169,0,65503,65520,65164,65501,0,0,143,5126,
226,924,65238,65026,365,143,1069,83,242,2882,2546,767,500,10048,0,561,14818,65517,0,0,65535,0,1069,65179,0,65510,65522,65161,65510,0,0,143,5126,
227,915,65333,65041,342,153,1068,100,259,2865,2863,780,500,10109,0,561,14822,65525,0,0,0,0,1069,65179,0,1,2,65174,2,0,0,143,5126,
228,870,65417,65040,305,190,1068,65507,221,2621,2903,794,500,9969,0,561,14820,65519,0,0,0,0,1069,65170,0,7,7,65179,9,0,0,143,5126,
229,831,65535,65030,283,222,1069,56,121,2335,3003,3,500,10166,0,561,14820,65531,0,0,0,0,1069,65177,0,0,24,65175,24,0,0,143,5126,
230,778,79,65021,242,271,1068,65516,126,2047,2998,16,500,9974,0,561,14826,65524,0,0,0,0,1069,65176,0,65525,23,65169,24,0,0,143,5126,
231,717,191,65018,209,304,1068,29,96,1804,3075,30,500,10098,0,561,14822,65530,0,0,65532,0,1069,65169,0,65514,31,65167,36,0,0,143,5126,
232,648,274,65038,149,342,1069,65466,0,1560,3009,43,500,10022,0,561,14829,65530,0,0,65530,0,1069,65177,0,65516,26,65174,32,0,0,143,5126,
233,567,382,65037,98,397,1068,18,76,1222,3053,57,500,10064,0,561,14825,65527,0,0,65533,0,1069,65178,0,65503,10,65160,30,0,0,143,5126,
234,495,455,65074,43,419,1067,65428,143,1075,2981,70,500,9988,0,561,14834,65528,0,0,1,0,1069,65174,0,65509,13,65172,29,0,0,143,5126,
235,390,551,65094,65517,461,1068,65494,171,746,2953,83,500,10093,0,561,14825,65528,0,0,1,0,1069,65184,0,65508,65534,65164,24,0,0,143,5126,
236,311,629,65148,65459,463,1067,65414,220,520,2904,97,500,10003,0,560,14839,65525,0,0,65535,0,1069,65187,0,65517,10,65182,18,0,0,143,5126,
237,205,693,65181,65407,483,1067,65429,273,275,2851,110,500,10047,0,560,14829,65524,0,0,0,0,1069,65180,0,65516,3,65180,17,0,0,143,5126,
238,111,771,65235,65354,483,1068,65420,493,207,2917,124,500,10058,0,560,14837,65525,0,0,0,0,1069,65187,0,65519,9,65188,10,0,0,15,5126,
239,2,812,65291,65291,488,1067,65323,806,148,2976,137,500,10064,0,560,14833,65521,0,0,0,0,1069,65186,0,65530,11,65187,65532,0,0,15,5126,
240,65449,873,65364,65242,466,1067,65417,877,89,3040,150,500,10032,0,560,14836,65524,0,0,0,0,1069,65179,0,65531,29,65199,65517,0,0,15,5126,
241,65341,892,65424,65187,461,1069,65279,1277,121,3003,164,500,10076,0,560,14835,65520,0,0,0,0,1069,65186,0,2,34,65191,65505,0,0,15,5126,
242,65243,939,65494,65140,438,1068,65350,1415,0,3075,177,500,10071,0,560,14835,65523,0,0,0,0,1069,65188,0,1,47,65191,65490,0,0,15,5126,
243,65160,939,22,65096,416,1068,65281,1695,112,3012,191,500,10001,0,560,14839,65514,0,0,65535,0,1069,65178,0,1,55,65184,65480,0,0,15,5126,
244,65058,954,55,65063,411,1068,65344,1964,120,3004,204,500,10125,0,560,14833,65522,0,0,65530,0,1069,65189,0,4,41,65168,65494,0,0,15,5126,
245,64986,948,114,65046,370,1067,65261,2247,179,2945,217,500,9977,0,560,14839,65511,0,0,65531,0,1069,65192,0,65527,44,65172,65490,0,0,15,5126,
246,64900,931,128,65047,359,1067,65348,2544,186,2938,231,500,10102,0,560,14829,65517,0,0,65535,0,1069,65184,0,65529,15,65173,65519,0,0,15,5126,
247,64838,911,162,65052,321,1069,65363,2784,288,2836,244,500,9990,0,560,14834,65512,0,0,1,0,1069,65191,0,65524,1,65183,65528,0,0,15,5126,
248,64767,868,185,65049,300,1068,65309,2947,177,2584,258,500,10113,0,560,14828,65515,0,0,0,0,1069,65189,0,1,65522,65183,11,0,0,15,5126,
249,64718,841,222,65047,267,1068,65465,2972,152,2415,271,500,9979,0,560,14831,65515,0,0,1,0,1069,65178,0,10,65518,65184,18,0,0,15,5126,
250,64669,765,268,65031,236,1069,65364,3022,102,2004,284,500,10118,0,560,14824,65518,0,0,0,0,1069,65184,0,22,65530,65173,25,0,0,15,5126,
251,64628,729,300,65033,197,1069,65445,3044,103,1847,298,500,10013,0,560,14830,65522,0,0,65531,0,1069,65183,0,31,65533,65174,33,0,0,15,5126,
252,64613,639,343,65043,145,1069,65432,3051,81,1501,311,500,10056,0,560,14823,65518,0,0,65531,0,1069,65174,0,29,4,65174,32,0,0,15,5126,
253,64584,577,371,65066,96,1070,65491,3043,0,1332,325,500,10062,0,560,14825,65528,0,0,65534,0,1069,65181,0,32,4,65182,34,0,0,15,5126,
254,64588,487,422,65076,39,1069,65417,2994,130,977,338,500,10014,0,560,14825,65519,0,0,1,0,1069,65182,0,20,18,65171,30,0,0,15,5126,
255,64583,398,443,65106,65523,1069,65514,2981,143,792,351,500,10112,0,560,14824,65531,0,0,1,0,1069,65175,0,20,19,65177,31,0,0,15,5126,
256,64608,310,464,65146,65462,1070,65505,2885,239,518,365,500,9978,0,560,14822,65521,0,0,0,0,1069,65183,0,15,15,65182,24,0,0,15,5126,
257,64622,201,473,65183,65415,1069,65436,2882,261,242,378,500,10156,0,560,14824,65533,0,0,0,0,1069,65180,0,16,18,65187,25,0,0,15,5126,
258,64664,118,487,65240,65345,1069,43,2901,499,223,392,500,9982,0,560,14825,65527,0,0,1,0,1069,65172,0,8,3,65188,7,0,0,15,5126,
259,64709,65533,486,65289,65296,1070,65496,3002,762,122,405,500,10156,0,560,14823,65534,0,0,0,0,1069,65177,0,10,1,65191,2,0,0,15,5126,
260,64758,65453,475,65363,65233,1070,37,2998,936,126,418,500,10012,0,560,14830,65533,0,0,0,0,1069,65173,0,18,65519,65195,65516,0,0,15,5126,
261,64831,65334,470,65418,65183,1070,36,3069,1249,80,432,500,10137,0,560,14824,65535,0,0,1,0,1069,65168,0,18,65514,65189,65509,0,0,15,5126,
262,64890,65255,438,65495,65138,1071,118,3013,1400,0,445,500,10025,0,560,14833,0,0,0,0,0,1069,65172,0,37,65506,65195,65489,0,0,15,5126,
263,64976,65149,443,9,65082,1070,28,3048,1726,76,459,500,10097,0,560,14828,65534,0,0,65535,0,1069,65170,0,27,65496,65170,65488,0,0,15,5126,
264,65052,65066,406,63,65060,1069,157,2986,1935,138,472,500,10077,0,560,14838,2,0,0,65531,0,1069,65167,0,38,65506,65175,65486,0,0,15,5126,
265,65146,64986,386,113,65031,1070,121,2958,2265,166,486,500,10029,0,560,14828,65530,0,0,65531,0,1069,65175,0,36,65507,65165,65490,0,0,15,5126,
266,65230,64896,359,128,65047,1069,97,2938,2520,186,499,500,10083,0,561,14840,0,0,0,0,0,1069,65171,0,16,65531,65178,65516,0,0,15,5126,
267,65334,64842,339,167,65029,1070,181,2822,2844,280,512,500,10041,0,561,14830,65528,0,0,65535,0,1069,65164,0,7,65525,65169,65526,0,0,15,5126,
268,65423,64762,308,182,65045,1070,107,2637,2933,191,526,500,10050,0,561,14837,65531,0,0,0,0,1069,65169,0,65520,65535,65184,10,0,0,143,5126,
269,65523,64726,279,232,65023,1070,143,2327,2964,160,539,500,10032,0,561,14834,65527,0,0,65535,0,1069,65165,0,65523,65519,65171,14,0,0,143,5126,
270,92,64657,249,267,65019,1070,90,2086,3064,84,553,500,10087,0,561,14834,65530,0,0,0,0,1069,65160,0,65519,65508,65168,25,0,0,143,5126,
271,177,64646,205,312,65017,1071,160,1759,2992,132,566,500,9977,0,561,14837,65523,0,0,65534,0,1069,65166,0,65527,65501,65164,28,0,0,143,5126,
272,287,64595,150,360,65019,1069,51,1590,3079,98,579,500,10095,0,561,14833,65531,0,0,65530,0,1069,65165,0,3,65500,65158,26,0,0,143,5126,
273,367,64598,91,390,65049,1070,160,1247,3002,122,593,500,9980,0,561,14839,65520,0,0,65531,0,1069,65162,0,1,65506,65168,24,0,0,143,5126,
274,469,64581,38,435,65063,1070,118,1031,3018,106,606,500,10074,0,561,14829,65524,0,0,1,0,1069,65171,0,14,65507,65160,23,0,0,143,5126,
275,541,64584,65512,452,65107,1069,119,815,2958,166,620,500,9958,0,561,14840,65517,0,0,1,0,1069,65170,0,7,65514,65171,18,0,0,143,5126,
276,634,64610,65469,477,65125,1069,166,437,2916,208,633,500,10147,0,561,14827,65521,0,0,0,0,1069,65168,0,19,65510,65167,26,0,0,143,5126,
277,693,64617,65401,485,65185,1069,127,325,2840,284,646,500,9924,0,561,14836,65513,0,0,0,0,1069,65174,0,6,65520,65177,11,0,0,143,5126,
278,766,64671,65351,506,65214,1069,196,185,2939,534,660,500,10154,0,561,14826,65520,0,0,1,0,1069,65169,0,17,65526,65169,15,0,0,143,5126,
279,821,64698,65289,489,65293,1069,114,144,2980,709,673,500,10013,0,561,14831,65518,0,0,0,0,1069,65167,0,65528,65526,65185,65530,0,0,143,5126,
280,860,64774,65230,492,65349,1069,209,116,3008,1044,687,500,10087,0,561,14823,65517,0,0,0,0,1069,65172,0,65521,65533,65179,65519,0,0,143,5126,
281,910,64810,65183,470,65420,1069,112,0,3052,1102,700,500,10061,0,561,14827,65526,0,0,1,0,1069,65169,0,65508,65525,65185,65506,0,0,143,5126,
282,921,64909,65122,461,65489,1069,181,93,3031,1561,713,500,10101,0,561,14823,65518,0,0,1,0,1069,65168,0,65493,65529,65173,65490,0,0,143,5126,
283,952,64962,65084,442,5,1069,91,0,3017,1636,727,500,10063,0,561,14825,65528,0,0,65532,0,1069,65177,0,65493,65526,65167,65490,0,0,143,5126,
284,947,65055,65042,422,66,1067,170,137,2987,1986,740,500,10036,0,561,14823,65519,0,0,65531,0,1069,65176,0,65486,65524,65156,65485,0,0,143,5126,
285,951,65148,65038,393,99,1068,69,159,2965,2250,754,500,10176,0,561,14824,65533,0,0,65532,0,1069,65178,0,65505,65521,65161,65501,0,0,143,5126,
286,927,65224,65029,360,145,1068,68,243,2881,2517,767,500,9918,0,561,14822,65518,0,0,65535,0,1069,65184,0,65514,65518,65164,65507,0,0,143,5126,
287,915,65338,65043,345,147,1067,120,239,2885,2847,781,500,10201,0,561,14823,65535,0,0,0,0,1069,65182,0,6,6,65174,6,0,0,143,5126,
288,867,65417,65043,298,195,1068,65482,231,2587,2893,794,500,9966,0,561,14824,65525,0,0,0,0,1069,65178,0,10,3,65180,4,0,0,143,5126,
289,832,65535,65033,281,221,1068,70,105,2311,3019,3,500,10130,0,561,14822,65530,0,0,0,0,1069,65183,0,4,25,65176,23,0,0,143,5126,
290,784,71,65027,248,260,1067,65523,139,2133,2985,17,500,9985,0,561,14830,65531,0,0,0,0,1069,65178,0,65530,31,65172,31,0,0,143,5126,
291,707,201,65025,201,307,1068,18,77,1716,3087,30,500,10147,0,561,14822,65530,0,0,65533,0,1069,65177,0,65520,28,65168,32,0,0,143,5126,
292,658,267,65049,145,335,1068,65446,0,1601,3005,43,500,9961,0,561,14836,65531,0,0,65529,0,1069,65183,0,65524,31,65180,32,0,0,143,5126,
293,568,378,65038,105,388,1067,66,57,1247,3073,57,500,10068,0,561,14825,65527,0,0,65532,0,1069,65180,0,65501,17,65161,37,0,0,143,5126,
294,489,465,65081,49,405,1068,65392,145,1010,2979,70,500,10065,0,561,14841,65531,0,0,0,0,1069,65182,0,65509,24,65179,35,0,0,143,5126,
295,395,539,65102,65510,459,1068,65464,179,760,2945,84,500,9991,0,561,14827,65522,0,0,0,0,1069,65188,0,65514,1,65166,21,0,0,143,5126,
296,314,637,65150,65471,450,1067,65499,171,545,2953,97,500,10063,0,560,14842,65527,0,0,0,0,1069,65186,0,65511,18,65188,27,0,0,143,5126,
297,199,687,65183,65410,478,1068,65340,372,275,2849,110,500,10054,0,560,14829,65519,0,0,65535,0,1069,65185,0,65514,6,65181,21,0,0,143,5126,
298,114,778,65244,65353,474,1068,65445,442,182,2942,124,500,10036,0,560,14837,65522,0,0,0,0,1069,65190,0,65521,17,65194,9,0,0,15,5126,
299,9,805,65294,65292,485,1068,65352,766,175,2949,137,500,10041,0,560,14835,65518,0,0,0,0,1069,65183,0,65530,13,65187,65534,0,0,15,5126,
300,65437,879,65358,65244,469,1068,65389,942,81,3065,151,500,10113,0,560,14832,65523,0,0,0,0,1069,65183,0,65531,25,65196,65523,0,0,15,5126,
301,65352,889,65434,65188,450,1069,65250,1252,141,2983,164,500,9977,0,560,14839,65512,0,0,1,0,1069,65186,0,0,42,65199,65502,0,0,15,5126,
302,65240,940,65481,65140,451,1068,65410,1396,88,3100,177,500,10130,0,560,14829,65522,0,0,1,0,1069,65182,0,5,37,65184,65501,0,0,15,5126,
303,65161,937,15,65110,409,1068,65244,1750,134,2990,191,500,9994,0,560,14841,65510,0,0,65535,0,1069,65182,0,65528,52,65193,65488,0,0,15,5126,
304,65058,952,47,65073,408,1069,65316,1999,94,3030,204,500,10107,0,560,14826,65515,0,0,65529,0,1069,65187,0,65535,37,65175,65500,0,0,15,5126,
305,64986,957,110,65058,362,1068,65332,2194,147,2977,217,500,9968,0,560,14841,65508,0,0,65531,0,1069,65183,0,65520,42,65181,65493,0,0,15,5126,
306,64900,918,133,65038,362,1069,65276,2602,217,2907,231,500,10147,0,560,14824,65512,0,0,65534,0,1069,65181,0,65534,22,65168,65517,0,0,15,5126,
307,64835,925,155,65057,323,1069,65398,2765,265,2859,244,500,9928,0,560,14837,65507,0,0,1,0,1069,65187,0,65524,65534,65186,65533,0,0,15,5126,
308,64771,858,190,65039,306,1068,65295,2945,179,2565,258,500,10142,0,560,14823,65511,0,0,0,0,1069,65180,0,5,65529,65177,11,0,0,15,5126,
309,64712,848,221,65044,271,1069,65479,2979,145,2428,271,500,9987,0,560,14830,65513,0,0,0,0,1069,65175,0,12,65520,65184,21,0,0,15,5126,
310,64676,759,273,65025,238,1070,65340,3006,118,1944,284,500,10080,0,560,14823,65507,0,0,0,0,1069,65180,0,21,65535,65170,23,0,0,15,5126,
311,64620,734,296,65026,206,1069,65465,3070,0,1907,298,500,10056,0,560,14825,65521,0,0,65530,0,1069,65176,0,36,0,65173,39,0,0,15,5126,
312,64620,636,353,65033,144,1069,65428,3014,110,1432,311,500,10005,0,560,14822,65506,0,0,65531,0,1069,65173,0,24,12,65168,29,0,0,15,5126,
313,64579,575,394,65052,89,1069,65486,3033,0,1377,325,500,10129,0,560,14822,65527,0,0,0,0,1069,65181,0,20,15,65169,27,0,0,15,5126,
314,64591,496,433,65074,28,1068,65429,2981,143,1021,338,500,9908,0,560,14823,65507,0,0,0,0,1069,65179,0,11,18,65168,21,0,0,15,5126,
315,64582,385,442,65101,65530,1069,65487,2986,138,733,352,500,10234,0,560,14820,65528,0,0,2,0,1069,65177,0,23,23,65178,35,0,0,15,5126,
316,64607,324,466,65151,65454,1069,13,2876,248,585,365,500,9851,0,560,14823,65511,0,0,0,0,1069,65184,0,11,9,65183,16,0,0,15,5126,
317,64624,188,474,65176,65421,1069,65385,2920,284,204,378,500,10240,0,560,14819,65525,0,0,65535,0,1069,65180,0,17,23,65187,29,0,0,15,5126,
318,64662,129,483,65246,65342,1069,97,2865,468,259,392,500,9908,0,560,14826,65519,0,0,0,0,1069,65171,0,10,65535,65191,2,0,0,15,5126,
